2
10000
221900,3,1180
538000,3,2570
180000,2,770
604000,4,1960
510000,3,1680
1230000,4,5420
257500,3,1715
291850,3,1060
229500,3,1780
323000,3,1890
662500,3,3560
468000,2,1160
310000,3,1430
400000,3,1370
530000,5,1810
650000,4,2950
395000,3,1890
485000,4,1600
189000,2,1200
230000,3,1250
385000,4,1620
2000000,3,3050
285000,5,2270
252700,2,1070
329000,3,2450
233000,3,1710
937000,3,2450
667000,3,1400
438000,3,1520
719000,4,2570
580500,3,2320
280000,2,1190
687500,4,2330
535000,3,1090
322500,4,2060
696000,3,2300
550000,4,1660
640000,4,2360
240000,4,1220
605000,4,2620
625000,4,2570
775000,4,4220
861990,5,3595
685000,3,1570
309000,3,1280
488000,3,3160
210490,3,990
785000,4,2290
450000,3,1250
1350000,3,2753
228000,3,1190
345000,5,3150
600000,3,1410
585000,2,1980
920000,5,2730
885000,4,2830
292500,4,2250
301000,3,2420
951000,5,3250
430000,4,1850
650000,3,2150
289000,3,1260
505000,3,2519
549000,3,1540
425000,3,1660
317625,3,2770
975000,4,2720
287000,4,2240
204000,3,1000
1330000,5,3200
1040000,5,4770
325000,3,1260
571000,4,2750
360000,4,2380
349000,3,1790
832500,4,3430
380000,4,1760
480000,3,1040
410000,3,1410
720000,4,3450
390000,3,2350
360000,4,1900
355000,2,2020
356000,3,1680
315000,3,960
940000,3,2140
305000,5,2660
461000,3,2770
215000,2,1610
335000,2,1030
243500,4,1980
1100000,5,3520
153000,3,1200
430000,3,1580
700000,3,1580
905000,4,3300
247500,3,1960
199000,4,1160
314000,3,1810
437500,3,2320
850830,3,2070
555000,3,1980
699950,3,2190
1090000,3,2920
290000,3,1210
375000,3,2340
460000,3,1670
188500,2,1240
680000,4,3140
470000,5,2030
597750,4,2310
570000,3,1260
272500,3,1540
329950,3,2080
480000,4,3230
740500,3,4380
518500,3,1590
205425,2,880
171800,4,1570
535000,4,1610
660000,3,2400
391500,3,1450
395000,2,770
445000,4,2100
770000,3,2910
1450000,4,2750
445000,3,2100
260000,4,2160
822500,5,2320
430000,4,2070
212000,3,1060
660500,4,2010
784000,3,3950
453246,3,2010
675000,4,2140
199000,3,1320
220000,4,2020
452000,4,2590
382500,2,1190
519950,3,1170
665000,2,1110
527700,5,2820
205000,3,1610
420000,3,1060
500000,4,2030
921500,4,3670
890000,4,2550
430000,2,2420
258000,5,2260
511000,3,1430
532170,3,1360
560000,3,1110
282950,3,1250
2250000,4,5180
350000,1,700
215000,3,1180
650000,5,3960
320000,4,2640
247000,3,1270
320000,4,1760
255000,5,2060
438000,3,1780
900000,3,3400
441000,3,1910
420000,3,2020
370000,3,1580
269950,2,1340
807100,4,2680
653000,3,2680
371500,3,1370
284000,3,1560
272000,3,2160
313000,3,1340
917500,4,3880
673000,4,2590
425000,3,1120
399950,5,1970
385000,3,1220
269950,3,1950
330000,2,1350
260000,3,1670
470000,4,2380
589000,4,2440
163500,2,1050
835000,4,3130
1100000,5,4090
269000,4,1490
560000,3,1900
615000,4,1330
585188,3,2230
305000,3,1650
166950,3,1190
799000,3,2140
400000,3,2180
230000,3,1060
256883,3,1690
423000,4,1970
465000,3,2150
440000,3,1910
385000,3,1350
210000,3,860
297000,3,1940
470000,3,1010
226500,3,1300
274250,3,910
840000,4,2480
677900,3,2440
425000,3,1010
180250,2,900
464000,6,2300
320000,4,1550
625504,3,1270
592500,4,2240
465000,3,2714
477000,4,1720
280000,2,850
1510000,5,3300
445838,3,2250
1070000,2,3900
467000,2,1320
686000,4,2760
279950,3,1750
527000,4,2330
325000,3,2220
328000,3,2020
390000,3,1250
479950,2,1510
264950,4,1720
235000,3,1430
516500,3,1480
655000,2,1450
500000,4,2280
315000,6,2940
213000,2,1000
475000,3,2480
1030000,5,3760
416000,3,2220
410000,4,1970
800000,3,3830
472000,6,4410
225000,3,1430
210000,2,830
455000,2,1430
225000,3,1300
480000,2,1030
363000,3,2740
2400000,4,3650
181000,2,720
250000,4,2010
481000,3,1560
260000,3,1810
455000,4,3360
415000,3,1510
349500,3,1400
245000,3,1730
592500,2,1420
385000,4,2360
315000,3,1580
255000,3,1230
693000,4,2460
780000,3,1660
237000,3,1270
525000,3,2100
425000,2,770
369900,1,760
290000,4,1700
285000,3,1120
415000,2,1070
272500,3,2070
2900000,4,5050
1370000,4,5310
436000,2,1040
210000,3,1700
236000,3,1300
331000,3,1080
365000,3,2653
450000,3,2290
770000,4,3820
455000,4,2210
405000,3,2390
304900,4,2600
170000,2,860
2050000,5,3830
780000,4,3500
330000,3,2420
370000,4,2720
467000,5,2500
405000,3,1670
675000,5,2900
500000,2,1640
389999,4,1890
630000,4,2950
360000,4,2160
580000,4,3280
550000,3,1970
879000,4,3360
265000,3,1320
446500,3,2650
404000,3,2030
267500,3,1590
3080000,4,4550
335000,3,2440
576000,3,1940
208633,3,2040
315000,3,2200
725000,3,1920
550000,4,1800
610750,4,2180
550700,2,1010
665000,4,3320
834000,4,2370
201000,5,1660
2380000,5,3650
1380000,4,4290
1400000,4,4290
305000,4,1950
487000,3,2590
390000,3,1930
548000,2,1470
268750,4,800
819900,5,3150
520000,3,2030
230000,3,1450
240000,3,1510
232000,2,1240
240500,2,1240
274975,3,3030
740000,4,2050
186375,3,1000
790000,3,2370
880000,4,2800
279000,6,2240
295000,3,1810
640000,2,1070
940000,4,2490
260000,4,1960
559900,3,2930
791500,4,1510
265000,3,1420
245000,3,1740
485000,4,2560
684000,4,3040
425000,3,2500
309600,4,1275
552250,4,2580
165000,4,1000
239900,4,1000
320000,2,1070
206600,3,1390
387000,4,2500
299000,1,560
855000,4,2270
315000,3,1900
437500,2,990
252000,4,1550
375000,4,2200
300000,4,1910
420000,4,1750
900000,3,1330
679900,3,2440
463000,3,1640
380000,5,2760
329500,4,1820
604950,3,2110
795000,5,3040
465000,3,1840
673000,4,2990
810000,4,3520
785000,4,2440
338000,4,2090
280000,3,1430
315000,4,2180
530000,4,2180
380000,5,3450
297000,3,1450
730000,4,3230
450000,3,1640
275000,3,1590
595000,4,2020
435000,3,1300
270000,2,1380
950000,3,4040
389000,4,2130
560000,4,2550
1350000,5,4800
799000,4,2510
365500,3,1410
252350,3,1650
403950,4,2120
385000,4,2040
345000,4,1550
490000,3,1980
330000,3,1600
927000,4,3300
1120000,4,3840
330000,2,1220
530000,5,2720
365000,4,1940
378750,3,2160
269900,4,1530
557000,3,1710
360000,4,3730
352000,2,940
437000,3,1750
322500,4,1820
650000,3,1510
450000,3,1290
278500,3,1570
364950,4,1930
840000,4,2840
268000,3,1550
517534,2,833
632925,3,2990
577500,3,2000
339000,4,2390
570000,3,2910
563500,4,2085
423000,4,2200
355000,3,1860
1550000,5,6070
482000,2,950
625000,3,1600
538000,3,2250
380000,3,2280
375000,2,940
245000,3,1530
310000,5,2190
